"Hugo_Symbol","LUAD","COAD","pval","or","ci.up","ci.low","adjPval"
"EXOSC7",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"FABP12",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"FCGR2A",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"H3C8",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"HBB",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"HOXC11",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"HTR3D",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"IFNA10",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"IGHV3-66",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"IGKV3D-15",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"IL3",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"IL33",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"IL36A",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"KRTAP4-4",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"KRTAP5-11",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"KTI12",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"LAPTM5",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"LCE1C",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"LCE1D",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"LGALS2",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"LIN28A",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
